region_id,polymer_id,value_percent,value_tonnes,year,source
AMCS,ABASAN,11.3,822062.19,2019,OECD (2022)
AMCS,BIO,10.9,229762.965,2019,OECD (2022)
AMCS,ELAST,8.0,409047.488,2019,OECD (2022)
AMCS,FIB,8.6,4437806.196,2019,OECD (2022)
AMCS,HDPE,11.4,5079088.588,2019,OECD (2022)
AMCS,LLDPE,11.6,5694574.768,2019,OECD (2022)
AMCS,MC,9.5,45779.765,2019,OECD (2022)
AMCS,OTH ,10.4,5986080.579,2019,OECD (2022)
AMCS,PET,11.4,2829775.082,2019,OECD (2022)
AMCS,PP,11.6,7167844.414,2019,OECD (2022)
AMCS,PS,11.3,1708621.841,2019,OECD (2022)
AMCS,PUR,10.9,1231992.153,2019,OECD (2022)
AMCS,PVC,9.5,2019934.281,2019,OECD (2022)
AMCS,RMC,13.0,75242.043,2019,OECD (2022)
AMCS,TOTAL,10.7,37737612.36,2019,OECD (2022)
ASIA,ABASAN,15.5,1129643.366,2019,OECD (2022)
ASIA,BIO,14.9,312870.115,2019,OECD (2022)
ASIA,ELAST,23.6,1199245.834,2019,OECD (2022)
ASIA,FIB,18.0,9335863.719,2019,OECD (2022)
ASIA,HDPE,14.0,6249508.687,2019,OECD (2022)
ASIA,LLDPE,13.7,6765264.199,2019,OECD (2022)
ASIA,MC,14.2,68495.678,2019,OECD (2022)
ASIA,OTH ,16.6,9572505.763,2019,OECD (2022)
ASIA,PET,13.7,3406839.154,2019,OECD (2022)
ASIA,PP,15.0,9285043.999,2019,OECD (2022)
ASIA,PS,14.2,2146902.271,2019,OECD (2022)
ASIA,PUR,15.2,1720067.06,2019,OECD (2022)
ASIA,PVC,14.5,3068096.061,2019,OECD (2022)
ASIA,RMC,16.7,97036.745,2019,OECD (2022)
ASIA,TOTAL,15.4,54357382.65,2019,OECD (2022)
CHN,ABASAN,17.8,1297533.135,2019,OECD (2022)
CHN,BIO,19.2,403883.121,2019,OECD (2022)
CHN,ELAST,13.5,685832.028,2019,OECD (2022)
CHN,FIB,19.0,9814041.688,2019,OECD (2022)
CHN,HDPE,20.0,8923992.681,2019,OECD (2022)
CHN,LLDPE,19.8,9753049.285,2019,OECD (2022)
CHN,MC,14.8,71422.694,2019,OECD (2022)
CHN,OTH ,16.6,9575514.515,2019,OECD (2022)
CHN,PET,21.1,5237851.879,2019,OECD (2022)
CHN,PP,19.5,12109318.96,2019,OECD (2022)
CHN,PS,18.0,2731244.317,2019,OECD (2022)
CHN,PUR,16.1,1829992.828,2019,OECD (2022)
CHN,PVC,13.7,2906492.468,2019,OECD (2022)
CHN,RMC,17.0,98435.59,2019,OECD (2022)
CHN,TOTAL,18.5,65438605.19,2019,OECD (2022)
EUR,ABASAN,19.3,1407233.745,2019,OECD (2022)
EUR,BIO,18.2,381892.142,2019,OECD (2022)
EUR,ELAST,16.5,841130.02,2019,OECD (2022)
EUR,FIB,15.1,7825879.718,2019,OECD (2022)
EUR,HDPE,21.2,9463756.096,2019,OECD (2022)
EUR,LLDPE,19.3,9478395.065,2019,OECD (2022)
EUR,MC,16.8,81224.762,2019,OECD (2022)
EUR,OTH ,20.3,11657307.53,2019,OECD (2022)
EUR,PET,19.5,4840602.013,2019,OECD (2022)
EUR,PP,18.5,11476164.86,2019,OECD (2022)
EUR,PS,21.1,3203580.797,2019,OECD (2022)
EUR,PUR,22.3,2530793.317,2019,OECD (2022)
EUR,PVC,28.5,6041196.132,2019,OECD (2022)
EUR,RMC,19.0,109863.498,2019,OECD (2022)
EUR,TOTAL,19.6,69339019.7,2019,OECD (2022)
IND,ABASAN,4.5,329890.089,2019,OECD (2022)
IND,BIO,5.6,117571.029,2019,OECD (2022)
IND,ELAST,3.9,199957.619,2019,OECD (2022)
IND,FIB,9.0,4646091.376,2019,OECD (2022)
IND,HDPE,4.9,2178613.114,2019,OECD (2022)
IND,LLDPE,5.0,2449492.081,2019,OECD (2022)
IND,MC,7.6,36657.722,2019,OECD (2022)
IND,OTH ,4.0,2297478.789,2019,OECD (2022)
IND,PET,5.2,1294758.217,2019,OECD (2022)
IND,PP,5.1,3148741.019,2019,OECD (2022)
IND,PS,4.4,663510.009,2019,OECD (2022)
IND,PUR,3.8,428414.686,2019,OECD (2022)
IND,PVC,3.3,693760.224,2019,OECD (2022)
IND,RMC,5.8,33475.506,2019,OECD (2022)
IND,TOTAL,5.2,18518411.48,2019,OECD (2022)
MENA,ABASAN,4.8,349919.568,2019,OECD (2022)
MENA,BIO,5.0,104382.816,2019,OECD (2022)
MENA,ELAST,5.7,291108.491,2019,OECD (2022)
MENA,FIB,4.8,2506699.345,2019,OECD (2022)
MENA,HDPE,4.5,1993125.953,2019,OECD (2022)
MENA,LLDPE,5.0,2437958.967,2019,OECD (2022)
MENA,MC,7.6,36669.431,2019,OECD (2022)
MENA,OTH ,4.8,2750346.578,2019,OECD (2022)
MENA,PET,4.7,1156386.752,2019,OECD (2022)
MENA,PP,4.9,3031562.161,2019,OECD (2022)
MENA,PS,4.8,735325.792,2019,OECD (2022)
MENA,PUR,4.6,521387.635,2019,OECD (2022)
MENA,PVC,4.6,968406.688,2019,OECD (2022)
MENA,RMC,5.8,33869.896,2019,OECD (2022)
MENA,TOTAL,4.8,16917150.08,2019,OECD (2022)
OCN,ABASAN,0.4,29012.95,2019,OECD (2022)
OCN,BIO,0.5,10202.027,2019,OECD (2022)
OCN,ELAST,1.4,70328.363,2019,OECD (2022)
OCN,FIB,1.1,552282.943,2019,OECD (2022)
OCN,HDPE,0.4,164576.908,2019,OECD (2022)
OCN,LLDPE,0.3,150628.078,2019,OECD (2022)
OCN,MC,0.3,1372.686,2019,OECD (2022)
OCN,OTH ,0.6,351615.617,2019,OECD (2022)
OCN,PET,0.3,74317.548,2019,OECD (2022)
OCN,PP,0.4,257525.307,2019,OECD (2022)
OCN,PS,0.3,51106.713,2019,OECD (2022)
OCN,PUR,0.5,60590.204,2019,OECD (2022)
OCN,PVC,0.6,117670.863,2019,OECD (2022)
OCN,RMC,0.3,1584.772,2019,OECD (2022)
OCN,TOTAL,0.5,1892814.978,2019,OECD (2022)
SSAFR,ABASAN,4.8,352507.699,2019,OECD (2022)
SSAFR,BIO,5.1,108049.786,2019,OECD (2022)
SSAFR,ELAST,0.0,9.97E+01,2019,OECD (2022)
SSAFR,FIB,3.3,1731928.111,2019,OECD (2022)
SSAFR,HDPE,4.9,2187569.256,2019,OECD (2022)
SSAFR,LLDPE,5.5,2691000,2019,OECD (2022)
SSAFR,MC,7.4,35720.249,2019,OECD (2022)
SSAFR,OTH ,4.4,2524088.148,2019,OECD (2022)
SSAFR,PET,5.3,1325169.219,2019,OECD (2022)
SSAFR,PP,5.2,3221469.216,2019,OECD (2022)
SSAFR,PS,5.2,787083.554,2019,OECD (2022)
SSAFR,PUR,4.3,486427.377,2019,OECD (2022)
SSAFR,PVC,3.6,765145.638,2019,OECD (2022)
SSAFR,RMC,5.7,32787.498,2019,OECD (2022)
SSAFR,TOTAL,4.6,16249045.49,2019,OECD (2022)
USA,ABASAN,21.5,1561984.513,2019,OECD (2022)
USA,BIO,20.6,432935.184,2019,OECD (2022)
USA,ELAST,27.3,1389308.414,2019,OECD (2022)
USA,FIB,21.1,10907569.72,2019,OECD (2022)
USA,HDPE,18.9,8470944.159,2019,OECD (2022)
USA,LLDPE,19.9,9791141.232,2019,OECD (2022)
USA,MC,21.9,105685.317,2019,OECD (2022)
USA,OTH ,22.3,12845192.16,2019,OECD (2022)
USA,PET,18.7,4647817.269,2019,OECD (2022)
USA,PP,19.8,12298437.49,2019,OECD (2022)
USA,PS,20.7,3138873.698,2019,OECD (2022)
USA,PUR,22.3,2530265.073,2019,OECD (2022)
USA,PVC,21.8,4623646.863,2019,OECD (2022)
USA,RMC,16.8,97256.629,2019,OECD (2022)
USA,TOTAL,20.6,72841057.72,2019,OECD (2022)
WRL,ABASAN,100,7279787,2019,OECD (2022)
WRL,BIO,100,2101549.2,2019,OECD (2022)
WRL,ELAST,100,5086058,2019,OECD (2022)
WRL,FIB,100,51758164,2019,OECD (2022)
WRL,HDPE,100,44711176,2019,OECD (2022)
WRL,LLDPE,100,49211504,2019,OECD (2022)
WRL,MC,100,483028.3,2019,OECD (2022)
WRL,OTH ,100,57560130,2019,OECD (2022)
WRL,PET,100,24813516,2019,OECD (2022)
WRL,PP,100,61996104,2019,OECD (2022)
WRL,PS,100,15166249,2019,OECD (2022)
WRL,PUR,100,11339930,2019,OECD (2022)
WRL,PVC,100,21204348,2019,OECD (2022)
WRL,RMC,100,579552.2,2019,OECD (2022)
WRL,TOTAL,100,353291100,2019,OECD (2022)
